C:\Users\Mikail Achmad\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\requests\__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.6.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[INIT].... \u2192 Crawl4AI 0.9.3 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=19&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.44s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=19&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.11s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=19&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=19&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.62s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=20&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.55s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=20&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.09s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=20&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=20&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.71s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=21&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.78s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=21&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=21&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=21&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.94s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=22&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.51s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=22&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.11s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=22&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=22&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.69s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=23&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.70s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=23&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.20s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=23&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=23&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.97s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=24&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.67s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=24&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.09s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=24&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=24&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.83s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=25&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.56s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=25&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.11s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=25&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
